,race_code,date,start_time,avg_speed_winner,race_category,distance,points_scale,uci_scale,parcours_type,profilescore,vert_meters,departure,arrival,race_ranking,startlist_quality_score,won_how,race_name,year,stage_number,type_race,prestige,time_trial,final_stage,type_win,sprint_type,solo_win
85,amstel-gold-race/2021,2021-04-18,12:11:00,43.218,me - men elite,218.6,1.wt.b,uci.wr.c1,hill_flat_finish,81.0,2893.0,valkenburg,berg en terblijt,6,1088,sprint of small group,amstel-gold-race,2021,0,one-day-race,other-classic,0,0,sprint,small,
86,la-fleche-wallone/2021,2021-04-21,11:35:00,42.024,me - men elite,193.6,1.wt.b,uci.wr.c2,hill_uphill_finish,158.0,2981.0,charleroi,mur de huy,7,1068,sprint a deux,la-fleche-wallone,2021,0,one-day-race,other-classic,0,0,sprint,a deux,
87,liege-bastogne-liege/2021,2021-04-25,10:15:00,38.92,me - men elite,259.1,1.wt.a,uci.wr.c1,hill_flat_finish,181.0,4352.0,liège,liège,4,1144,sprint of small group,liege-bastogne-liege,2021,0,one-day-race,monument,0,0,sprint,small,
88,san-sebastian/2021,2021-07-31,11:54:00,40.088,me - men elite,223.5,1.wt.b,uci.wr.c2,hill_flat_finish,225.0,4113.0,san sebastián,san sebastián,27,645,sprint of small group,san-sebastian,2021,0,one-day-race,other-classic,0,0,sprint,small,
89,bretagne-classic/2021,2021-08-29,10:45:00,41.841,me - men elite,251.0,1.wt.b,uci.wr.c2,hill_flat_finish,116.0,3695.0,plouay,plouay,23,653,sprint a deux,bretagne-classic,2021,0,one-day-race,other-classic,0,0,sprint,a deux,
90,eschborn-frankfurt/2021,2021-09-19,13:26:00,41.947,me - men elite,187.4,1.wt.b,uci.wr.c3,hill_flat_finish,89.0,2657.0,eschborn,frankfurt-am-main,41,430,sprint of large group,eschborn-frankfurt,2021,0,one-day-race,other-classic,0,0,sprint,large,
91,paris-roubaix/2021,2021-10-03,11:15:00,42.719,me - men elite,257.7,1.wt.a,uci.wr.c1,flat,5.0,1360.0,compiègne,roubaix,11,984,sprint of small group,paris-roubaix,2021,0,one-day-race,monument,0,0,sprint,small,
92,il-lombardia/2021,2021-10-09,10:30:00,39.652,me - men elite,239.0,1.wt.a,uci.wr.c1,hill_flat_finish,210.0,4659.0,como,bergamo,8,1069,sprint a deux,il-lombardia,2021,0,one-day-race,monument,0,0,sprint,a deux,
93,world-championships-itt-u23/2021,2021-09-20,10:40:00,52.721,mu - men u23,30.3,uci.wo.u23.tt,uci.wr.wo.u23.tt,flat,0.0,27.0,knokke-heist,bruges,179,28,time trial,world-championships-itt-u23,2021,0,one-day-race,other-classic,1,0,time trial,no sprint,
94,world-championship-itt/2021,2021-09-19,14:40:00,54.37,me - men elite,43.3,worlds.tt,uci.wr.wo.tt - tm2022,flat,0.0,34.0,knokke-heist,bruges,48,363,time trial,world-championship-itt,2021,0,one-day-race,other-classic,1,0,time trial,no sprint,
95,world-championships-u23/2021,2021-09-24,13:25:00,44.421,mu - men u23,161.1,nationals.c1,uci.wr.wo.u23,hill_flat_finish,,1094.0,antwerp,leuven,129,86,5.5 km solo,world-championships-u23,2021,0,one-day-race,other-classic,0,0,solo,no sprint,5.5
96,world-championship/2021,2021-09-26,10:25:00,45.147,me - men elite,268.3,worlds.rr,uci.wr.wo - tm2022,hill_flat_finish,54.0,2250.0,antwerp,leuven,2,1357,17.4 km solo,world-championship,2021,0,one-day-race,other-classic,0,0,solo,no sprint,17.4
97,gp-d-ouverture/2021,2021-01-31,11:40:00,38.93,me - men elite,171.6,1.1,uci.wr.1,hill_flat_finish,127.0,2803.0,marseille,marseille,61,192,sprint of small group,gp-d-ouverture,2021,0,one-day-race,other-classic,0,0,sprint,small,
98,gp-samyn/2021,2021-03-02,12:30:00,44.899,me - men elite,205.4,1.1,uci.wr.1,hill_uphill_finish,12.0,1455.0,quaregnon,dour,41,295,sprint of large group,gp-samyn,2021,0,one-day-race,other-classic,0,0,sprint,large,
99,grote-prijs-jean-pierre-monsere/2021,2021-03-07,10:45:00,44.14,me - men elite,202.1,1.1,uci.wr.1,flat,6.0,659.0,hooglede,roeselare,73,113,sprint of large group,grote-prijs-jean-pierre-monsere,2021,0,one-day-race,other-classic,0,0,sprint,large,
