,team_historical_code,team_code_2023,archive_url,team_name,wins,points,pcs_ranking
111,lotto-soudal-2021,lotto-dstny-2023,https://www.procyclingstats.com/team/lotto-soudal-2021,lotto soudal,12,4704,19
112,lotto-soudal-2020,lotto-dstny-2023,https://www.procyclingstats.com/team/lotto-soudal-2020,lotto soudal,12,3784,15
113,lotto-soudal-2019,lotto-dstny-2023,https://www.procyclingstats.com/team/lotto-soudal-2019,lotto soudal,23,8413,8
114,team-corratec-2022,team-corratec-2023,https://www.procyclingstats.com/team/team-corratec-2022,team corratec,12,147,70
115,sport-vlaanderen-baloise-2022,team-flanders--baloise-2023,https://www.procyclingstats.com/team/sport-vlaanderen-baloise-2022,sport vlaanderen - baloise,4,1794,24
116,sport-vlaanderen-baloise-2021,team-flanders--baloise-2023,https://www.procyclingstats.com/team/sport-vlaanderen-baloise-2021,sport vlaanderen - baloise,3,1618,26
117,sport-vlaanderen-baloise-2020,team-flanders--baloise-2023,https://www.procyclingstats.com/team/sport-vlaanderen-baloise-2020,sport vlaanderen - baloise,0,867,27
118,sport-vlaanderen-baloise-2019,team-flanders--baloise-2023,https://www.procyclingstats.com/team/sport-vlaanderen-baloise-2019,sport vlaanderen - baloise,1,2110,29
119,team-novo-nordisk-2022,team-novo-nordisk-2023,https://www.procyclingstats.com/team/team-novo-nordisk-2022,team novo nordisk,1,81,111
120,team-novo-nordisk-2021,team-novo-nordisk-2023,https://www.procyclingstats.com/team/team-novo-nordisk-2021,team novo nordisk,1,52,139
121,team-novo-nordisk-2020,team-novo-nordisk-2023,https://www.procyclingstats.com/team/team-novo-nordisk-2020,team novo nordisk,0,67,93
122,team-novo-nordisk-2019,team-novo-nordisk-2023,https://www.procyclingstats.com/team/team-novo-nordisk-2019,team novo nordisk,0,300,99
123,team-totalenergies-2022,team-totalenergies-2023,https://www.procyclingstats.com/team/team-totalenergies-2022,totalenergies,15,5617,20
124,team-totalenergies-2021,team-totalenergies-2023,https://www.procyclingstats.com/team/team-totalenergies-2021,totalenergies,6,3020,22
125,team-total-direct-energie-2020,team-totalenergies-2023,https://www.procyclingstats.com/team/team-total-direct-energie-2020,team total direct energie,3,1518,25
126,team-total-direct-energie-2019,team-totalenergies-2023,https://www.procyclingstats.com/team/team-total-direct-energie-2019,team total direct energie,16,4328,19
