,rider_code,nb_race_flat,nb_win_flat,nb_pod_flat,nb_top10_flat,pts_flat,avg_rnk_flat,pct_win_flat,pct_pod_flat,pct_top10_flat,avg_pts_flat
217,wout-van-aert,42,7,16,20,1883.0,21.153846153846153,0.16666666666666666,0.38095238095238093,0.47619047619047616,44.833333333333336
218,johan-esteban-chaves,32,0,0,0,0.0,48.25806451612903,0.0,0.0,0.0,0.0
219,kenny-elissonde,36,0,0,0,0.0,96.22222222222223,0.0,0.0,0.0,0.0
220,valentin-madouas,41,0,0,1,98.0,66.075,0.0,0.0,0.024390243902439025,2.3902439024390243
221,daniel-felipe-martinez,33,0,0,0,0.0,75.0,0.0,0.0,0.0,0.0
222,luis-leon-sanchez,57,0,0,1,26.0,52.10526315789474,0.0,0.0,0.017543859649122806,0.45614035087719296
223,hugh-carthy,41,0,0,0,0.0,81.53658536585365,0.0,0.0,0.0,0.0
224,jan-polanc,38,0,0,0,5.0,45.416666666666664,0.0,0.0,0.0,0.13157894736842105
225,robert-gesink,32,0,0,0,0.0,99.76666666666667,0.0,0.0,0.0,0.0
226,harold-tejada,27,0,0,0,0.0,98.14814814814815,0.0,0.0,0.0,0.0
227,niklas-eg,22,0,0,0,0.0,82.95454545454545,0.0,0.0,0.0,0.0
228,quentin-pacher,31,0,0,1,18.0,79.45161290322581,0.0,0.0,0.03225806451612903,0.5806451612903226
229,marc-hirschi,34,0,0,2,63.0,93.97058823529412,0.0,0.0,0.058823529411764705,1.8529411764705883
230,neilson-powless,44,0,1,2,107.0,65.25,0.0,0.022727272727272728,0.045454545454545456,2.4318181818181817
231,maximilian-schachmann,38,1,1,1,59.0,70.5945945945946,0.02631578947368421,0.02631578947368421,0.02631578947368421,1.5526315789473684
232,soren-kragh-andersen,43,0,1,3,310.0,62.42857142857143,0.0,0.023255813953488372,0.06976744186046512,7.209302325581396
233,felix-grossschartner,47,0,0,2,13.0,54.30434782608695,0.0,0.0,0.0425531914893617,0.2765957446808511
234,nans-peters,44,0,0,0,0.0,72.68181818181819,0.0,0.0,0.0,0.0
235,jan-hirt,50,0,0,0,0.0,108.64,0.0,0.0,0.0,0.0
236,ben-hermans,16,0,0,0,0.0,95.0,0.0,0.0,0.0,0.0
237,jose-joaquin-rojas,45,0,0,1,74.0,43.46666666666667,0.0,0.0,0.022222222222222223,1.6444444444444444
238,david-de-la-cruz,42,0,0,0,5.0,79.92857142857143,0.0,0.0,0.0,0.11904761904761904
239,jack-bauer,45,0,0,0,58.0,53.357142857142854,0.0,0.0,0.0,1.288888888888889
240,pavel-sivakov,40,0,0,0,0.0,89.76315789473684,0.0,0.0,0.0,0.0
241,luka-mezgec,50,1,2,15,393.0,38.829787234042556,0.02,0.04,0.3,7.86
242,casper-pedersen,57,1,2,2,202.0,74.83333333333333,0.017543859649122806,0.03508771929824561,0.03508771929824561,3.543859649122807
243,cyril-barthe,42,0,0,2,53.0,48.707317073170735,0.0,0.0,0.047619047619047616,1.2619047619047619
244,tom-van-asbroeck,64,0,0,8,480.0,38.39344262295082,0.0,0.0,0.125,7.5
245,alessandro-de-marchi,39,0,0,0,0.0,122.25641025641026,0.0,0.0,0.0,0.0
246,clement-venturini,40,0,0,12,245.0,25.675,0.0,0.0,0.3,6.125
247,connor-swift,50,1,2,3,299.0,65.45833333333333,0.02,0.04,0.06,5.98
248,christophe-laporte,53,2,5,20,887.0,27.1,0.03773584905660377,0.09433962264150944,0.37735849056603776,16.735849056603772
