,Unnamed: 0,team_code_history,team_history_url,team_url_2023,URL,Team Name,Wins,Points,PCS Ranking,UCI Ranking
109,6,israel-cycling-academy-2019,https://www.procyclingstats.com/team/israel-cycling-academy-2019,israel-premier-tech-2023,https://www.procyclingstats.com/team/israel-cycling-academy-2019,Israel Cycling Academy,29,5092,17,-
110,3,lotto-soudal-2022,https://www.procyclingstats.com/team/lotto-soudal-2022,lotto-dstny-2023,https://www.procyclingstats.com/team/lotto-soudal-2022,Lotto Soudal,25,6382,15,14
111,4,lotto-soudal-2021,https://www.procyclingstats.com/team/lotto-soudal-2021,lotto-dstny-2023,https://www.procyclingstats.com/team/lotto-soudal-2021,Lotto Soudal,12,4704,19,-
112,5,lotto-soudal-2020,https://www.procyclingstats.com/team/lotto-soudal-2020,lotto-dstny-2023,https://www.procyclingstats.com/team/lotto-soudal-2020,Lotto Soudal,12,3784,15,-
113,6,lotto-soudal-2019,https://www.procyclingstats.com/team/lotto-soudal-2019,lotto-dstny-2023,https://www.procyclingstats.com/team/lotto-soudal-2019,Lotto Soudal,23,8413,8,-
114,2,team-corratec-2022,https://www.procyclingstats.com/team/team-corratec-2022,team-corratec-2023,https://www.procyclingstats.com/team/team-corratec-2022,Team Corratec,12,147,70,106
115,2,sport-vlaanderen-baloise-2022,https://www.procyclingstats.com/team/sport-vlaanderen-baloise-2022,team-flanders--baloise-2023,https://www.procyclingstats.com/team/sport-vlaanderen-baloise-2022,Sport Vlaanderen - Baloise,4,1794,24,26
116,3,sport-vlaanderen-baloise-2021,https://www.procyclingstats.com/team/sport-vlaanderen-baloise-2021,team-flanders--baloise-2023,https://www.procyclingstats.com/team/sport-vlaanderen-baloise-2021,Sport Vlaanderen - Baloise,3,1618,26,-
117,4,sport-vlaanderen-baloise-2020,https://www.procyclingstats.com/team/sport-vlaanderen-baloise-2020,team-flanders--baloise-2023,https://www.procyclingstats.com/team/sport-vlaanderen-baloise-2020,Sport Vlaanderen - Baloise,-,867,27,-
118,5,sport-vlaanderen-baloise-2019,https://www.procyclingstats.com/team/sport-vlaanderen-baloise-2019,team-flanders--baloise-2023,https://www.procyclingstats.com/team/sport-vlaanderen-baloise-2019,Sport Vlaanderen - Baloise,1,2110,29,-
119,1,team-novo-nordisk-2022,https://www.procyclingstats.com/team/team-novo-nordisk-2022,team-novo-nordisk-2023,https://www.procyclingstats.com/team/team-novo-nordisk-2022,Team Novo Nordisk,1,81,111,169
120,2,team-novo-nordisk-2021,https://www.procyclingstats.com/team/team-novo-nordisk-2021,team-novo-nordisk-2023,https://www.procyclingstats.com/team/team-novo-nordisk-2021,Team Novo Nordisk,1,52,139,-
121,3,team-novo-nordisk-2020,https://www.procyclingstats.com/team/team-novo-nordisk-2020,team-novo-nordisk-2023,https://www.procyclingstats.com/team/team-novo-nordisk-2020,Team Novo Nordisk,-,67,93,-
122,4,team-novo-nordisk-2019,https://www.procyclingstats.com/team/team-novo-nordisk-2019,team-novo-nordisk-2023,https://www.procyclingstats.com/team/team-novo-nordisk-2019,Team Novo Nordisk,-,300,99,-
123,3,team-totalenergies-2022,https://www.procyclingstats.com/team/team-totalenergies-2022,team-totalenergies-2023,https://www.procyclingstats.com/team/team-totalenergies-2022,TotalEnergies,15,5617,20,17
124,4,team-totalenergies-2021,https://www.procyclingstats.com/team/team-totalenergies-2021,team-totalenergies-2023,https://www.procyclingstats.com/team/team-totalenergies-2021,TotalEnergies,6,3020,22,-
125,6,team-total-direct-energie-2020,https://www.procyclingstats.com/team/team-total-direct-energie-2020,team-totalenergies-2023,https://www.procyclingstats.com/team/team-total-direct-energie-2020,Team Total Direct Energie,3,1518,25,-
126,7,team-total-direct-energie-2019,https://www.procyclingstats.com/team/team-total-direct-energie-2019,team-totalenergies-2023,https://www.procyclingstats.com/team/team-total-direct-energie-2019,Team Total Direct Energie,16,4328,19,-
127,8,direct-energie-2019,https://www.procyclingstats.com/team/direct-energie-2019,team-totalenergies-2023,https://www.procyclingstats.com/team/direct-energie-2019,Direct Energie,16,4328,19,-
128,3,tudor-pro-cycling-team-2022,https://www.procyclingstats.com/team/tudor-pro-cycling-team-2022,tudor-pro-cycling-team-2023,https://www.procyclingstats.com/team/tudor-pro-cycling-team-2022,Tudor Pro Cycling Team,11,229,57,52
129,4,swiss-racing-academy-2021,https://www.procyclingstats.com/team/swiss-racing-academy-2021,tudor-pro-cycling-team-2023,https://www.procyclingstats.com/team/swiss-racing-academy-2021,Swiss Racing Academy,3,88,90,-
