,Rnk,BIB,H2H,Rider,Age,Team,UCI,Pnt,Time,race_code
220,122,114,,ROWE LukeINEOS Grenadiers,32,INEOS Grenadiers,,5,",,12:22",omloop-het-nieuwsblad/2023
221,123,154,,O'BRIEN KellandTeam Jayco AlUla,24,Team Jayco AlUla,,5,",,12:22",omloop-het-nieuwsblad/2023
222,124,232,,DE WILDE GillesTeam Flanders - Baloise,23,Team Flanders - Baloise,,5,",,12:22",omloop-het-nieuwsblad/2023
223,125,14,,VAN TRICHT StanSoudal - Quick Step,23,Soudal - Quick Step,,5,",,12:22",omloop-het-nieuwsblad/2023
224,DNF,66,,SÜTTERLIN JashaBahrain - Victorious,30,Bahrain - Victorious,,,-,omloop-het-nieuwsblad/2023
225,DNF,156,,PÖSTLBERGER LukasTeam Jayco AlUla,31,Team Jayco AlUla,,,-,omloop-het-nieuwsblad/2023
226,DNF,222,,COTÉ Pier-AndréHuman Powered Health,25,Human Powered Health,,,-,omloop-het-nieuwsblad/2023
227,DNF,117,,TURNER BenINEOS Grenadiers,23,INEOS Grenadiers,,,-,omloop-het-nieuwsblad/2023
228,DNF,194,,NEILANDS KristsIsrael - Premier Tech,28,Israel - Premier Tech,,,-,omloop-het-nieuwsblad/2023
229,DNF,13,,DECLERCQ TimSoudal - Quick Step,33,Soudal - Quick Step,,,-,omloop-het-nieuwsblad/2023
230,DNF,56,,LAAS MartinAstana Qazaqstan Team,29,Astana Qazaqstan Team,,,-,omloop-het-nieuwsblad/2023
231,DNF,151,,ŠTYBAR ZdeněkTeam Jayco AlUla,37,Team Jayco AlUla,,,-,omloop-het-nieuwsblad/2023
232,DNF,217,,DE MAEGHT DorianBingoal WB,25,Bingoal WB,,,-,omloop-het-nieuwsblad/2023
233,DNF,83,,KREDER WesleyCofidis,32,Cofidis,,,-,omloop-het-nieuwsblad/2023
234,DNF,183,,DE BUYST JasperLotto Dstny,29,Lotto Dstny,,,-,omloop-het-nieuwsblad/2023
235,DNF,233,,VAN HEMELEN VincentTeam Flanders - Baloise,22,Team Flanders - Baloise,,,-,omloop-het-nieuwsblad/2023
236,DNF,142,,BEVIN PatrickTeam DSM,32,Team DSM,,,-,omloop-het-nieuwsblad/2023
237,DNF,205,,MANZIN LorrenzoTotalEnergies,28,TotalEnergies,,,-,omloop-het-nieuwsblad/2023
238,DNF,53,,BOARO ManueleAstana Qazaqstan Team,35,Astana Qazaqstan Team,,,-,omloop-het-nieuwsblad/2023
239,DNF,75,,LÜHRS Luis-JoeBORA - hansgrohe,20,BORA - hansgrohe,,,-,omloop-het-nieuwsblad/2023
240,DNF,174,,BAX SjoerdUAE Team Emirates,27,UAE Team Emirates,,,-,omloop-het-nieuwsblad/2023
241,DNF,227,,VAN HOECKE GijsHuman Powered Health,31,Human Powered Health,,,-,omloop-het-nieuwsblad/2023
242,DNF,133,,GRONDIN DonavanTeam Arkéa Samsic,22,Team Arkéa Samsic,,,-,omloop-het-nieuwsblad/2023
243,DNF,197,,VAN ASBROECK TomIsrael - Premier Tech,32,Israel - Premier Tech,,,-,omloop-het-nieuwsblad/2023
244,DNF,33,,GOGL MichaelAlpecin-Deceuninck,29,Alpecin-Deceuninck,,,-,omloop-het-nieuwsblad/2023
245,DNF,71,,MEEUS JordiBORA - hansgrohe,24,BORA - hansgrohe,,,-,omloop-het-nieuwsblad/2023
246,DNF,157,,JUUL-JENSEN ChristopherTeam Jayco AlUla,33,Team Jayco AlUla,,,-,omloop-het-nieuwsblad/2023
247,DNF,224,,JOYCE ColinHuman Powered Health,28,Human Powered Health,,,-,omloop-het-nieuwsblad/2023
248,DNF,122,,GARCÍA CORTINA IvánMovistar Team,27,Movistar Team,,,-,omloop-het-nieuwsblad/2023
249,DNF,195,,REYNDERS JensIsrael - Premier Tech,24,Israel - Premier Tech,,,-,omloop-het-nieuwsblad/2023
250,DNF,22,,HERREGODTS RuneIntermarché - Circus - Wanty,24,Intermarché - Circus - Wanty,,,-,omloop-het-nieuwsblad/2023
251,DNF,57,,SYRITSA GlebAstana Qazaqstan Team,22,Astana Qazaqstan Team,,,-,omloop-het-nieuwsblad/2023
252,DNF,155,,BALMER AlexandreTeam Jayco AlUla,22,Team Jayco AlUla,,,-,omloop-het-nieuwsblad/2023
253,DNF,221,,BASSETT StephenHuman Powered Health,27,Human Powered Health,,,-,omloop-het-nieuwsblad/2023
254,DNF,112,,RIVERA Brandon SmithINEOS Grenadiers,26,INEOS Grenadiers,,,-,omloop-het-nieuwsblad/2023
255,DNF,193,,HOLLENSTEIN RetoIsrael - Premier Tech,37,Israel - Premier Tech,,,-,omloop-het-nieuwsblad/2023
256,DNF,236,,APERS RubenTeam Flanders - Baloise,24,Team Flanders - Baloise,,,-,omloop-het-nieuwsblad/2023
257,DNF,54,,GIDICH YevgeniyAstana Qazaqstan Team,26,Astana Qazaqstan Team,,,-,omloop-het-nieuwsblad/2023
258,DNF,145,,MAYRHOFER MariusTeam DSM,22,Team DSM,,,-,omloop-het-nieuwsblad/2023
259,DNF,216,,VAN KEIRSBULCK GuillaumeBingoal WB,32,Bingoal WB,,,-,omloop-het-nieuwsblad/2023
260,DNF,82,,CARVALHO AndreCofidis,25,Cofidis,,,-,omloop-het-nieuwsblad/2023
261,DNF,175,,OLIVEIRA IvoUAE Team Emirates,26,UAE Team Emirates,,,-,omloop-het-nieuwsblad/2023
262,DNF,231,,DE PESTEL SanderTeam Flanders - Baloise,24,Team Flanders - Baloise,,,-,omloop-het-nieuwsblad/2023
263,DNF,136,,MCLAY DanielTeam Arkéa Samsic,31,Team Arkéa Samsic,,,-,omloop-het-nieuwsblad/2023
264,DNF,204,,OSS DanielTotalEnergies,36,TotalEnergies,,,-,omloop-het-nieuwsblad/2023
265,DNF,46,,SCHÄR MichaelAG2R Citroën Team,36,AG2R Citroën Team,,,-,omloop-het-nieuwsblad/2023
266,DNF,72,,DENZ NicoBORA - hansgrohe,29,BORA - hansgrohe,,,-,omloop-het-nieuwsblad/2023
267,DNF,172,,ACKERMANN PascalUAE Team Emirates,29,UAE Team Emirates,,,-,omloop-het-nieuwsblad/2023
268,DNF,225,,PEÁK BarnabásHuman Powered Health,24,Human Powered Health,,,-,omloop-het-nieuwsblad/2023
269,DNF,132,,RIOU AlanTeam Arkéa Samsic,25,Team Arkéa Samsic,,,-,omloop-het-nieuwsblad/2023
270,DNF,196,,SAGIV GuyIsrael - Premier Tech,28,Israel - Premier Tech,,,-,omloop-het-nieuwsblad/2023
271,DNF,27,,REX LaurenzIntermarché - Circus - Wanty,23,Intermarché - Circus - Wanty,,,-,omloop-het-nieuwsblad/2023
272,DNS,95,,SCULLY TomEF Education-EasyPost,33,EF Education-EasyPost,,,-,omloop-het-nieuwsblad/2023
273,DNS,153,,DURBRIDGE LukeTeam Jayco AlUla,31,Team Jayco AlUla,,,-,omloop-het-nieuwsblad/2023
274,,,,,,,,,,strade-bianche/2023
275,1,101,,PIDCOCK ThomasINEOS Grenadiers,23,INEOS Grenadiers,400,225,4:31:41,strade-bianche/2023
276,2,96,,MADOUAS ValentinGroupama - FDJ,26,Groupama - FDJ,320,150,0:200:20,strade-bianche/2023
277,3,131,,BENOOT TiesjJumbo-Visma,28,Jumbo-Visma,260,110,0:220:22,strade-bianche/2023
278,4,111,,COSTA RuiIntermarché - Circus - Wanty,36,Intermarché - Circus - Wanty,220,90,0:230:23,strade-bianche/2023
279,5,136,,VALTER AttilaJumbo-Visma,24,Jumbo-Visma,180,80,",,0:23",strade-bianche/2023
280,6,35,,MOHORIČ MatejBahrain - Victorious,28,Bahrain - Victorious,140,70,0:340:34,strade-bianche/2023
281,7,31,,BILBAO PelloBahrain - Victorious,33,Bahrain - Victorious,120,60,1:041:04,strade-bianche/2023
282,8,93,,GRÉGOIRE RomainGroupama - FDJ,20,Groupama - FDJ,100,50,1:181:18,strade-bianche/2023
283,9,245,,FORMOLO DavideUAE Team Emirates,30,UAE Team Emirates,80,46,1:231:23,strade-bianche/2023
284,10,141,,KRON AndreasLotto Dstny,24,Lotto Dstny,68,42,1:351:35,strade-bianche/2023
285,11,21,,LUTSENKO AlexeyAstana Qazaqstan Team,30,Astana Qazaqstan Team,56,38,1:441:44,strade-bianche/2023
286,12,226,,SIMMONS QuinnTrek - Segafredo,21,Trek - Segafredo,48,34,1:461:46,strade-bianche/2023
287,13,247,,WELLENS TimUAE Team Emirates,31,UAE Team Emirates,40,30,",,1:46",strade-bianche/2023
288,14,241,,ULISSI DiegoUAE Team Emirates,33,UAE Team Emirates,32,26,",,1:46",strade-bianche/2023
289,15,1,,VAN DER POEL MathieuAlpecin-Deceuninck,28,Alpecin-Deceuninck,28,22,",,1:46",strade-bianche/2023
290,16,151,,ARANBURU AlexMovistar Team,27,Movistar Team,24,20,",,1:46",strade-bianche/2023
291,17,227,,SKUJIŅŠ TomsTrek - Segafredo,31,Trek - Segafredo,24,18,",,1:46",strade-bianche/2023
292,18,103,,KWIATKOWSKI MichałINEOS Grenadiers,32,INEOS Grenadiers,24,17,",,1:46",strade-bianche/2023
293,19,91,,PINOT ThibautGroupama - FDJ,32,Groupama - FDJ,24,16,",,1:46",strade-bianche/2023
294,20,181,,BARGUIL WarrenTeam Arkéa Samsic,31,Team Arkéa Samsic,24,15,",,1:46",strade-bianche/2023
295,21,201,,ZANA FilippoTeam Jayco AlUla,23,Team Jayco AlUla,16,14,",,1:46",strade-bianche/2023
296,22,7,,VERMEERSCH GianniAlpecin-Deceuninck,30,Alpecin-Deceuninck,16,13,",,1:46",strade-bianche/2023
297,23,147,,VAN GILS MaximLotto Dstny,23,Lotto Dstny,16,12,",,1:46",strade-bianche/2023
298,24,45,,KONRAD PatrickBORA - hansgrohe,31,BORA - hansgrohe,16,11,",,1:46",strade-bianche/2023
299,25,102,,DE PLUS LaurensINEOS Grenadiers,27,INEOS Grenadiers,16,10,",,1:46",strade-bianche/2023
300,26,47,,VLASOV AleksandrBORA - hansgrohe,26,BORA - hansgrohe,16,9,",,1:46",strade-bianche/2023
301,27,66,,SHAW JamesEF Education-EasyPost,26,EF Education-EasyPost,16,8,",,1:46",strade-bianche/2023
302,28,121,,CLARKE SimonIsrael - Premier Tech,36,Israel - Premier Tech,16,7,1:581:58,strade-bianche/2023
303,29,44,,KÄMNA LennardBORA - hansgrohe,26,BORA - hansgrohe,16,6,",,1:58",strade-bianche/2023
304,30,172,,BAGIOLI AndreaSoudal - Quick Step,23,Soudal - Quick Step,16,5,",,1:58",strade-bianche/2023
305,31,107,,TULETT BenINEOS Grenadiers,21,INEOS Grenadiers,8,5,2:022:02,strade-bianche/2023
306,32,184,,GUGLIELMI SimonTeam Arkéa Samsic,25,Team Arkéa Samsic,8,5,2:042:04,strade-bianche/2023
307,33,115,,PETILLI SimoneIntermarché - Circus - Wanty,29,Intermarché - Circus - Wanty,8,5,",,2:04",strade-bianche/2023
308,34,135,,VADER MilanJumbo-Visma,27,Jumbo-Visma,8,5,2:082:08,strade-bianche/2023
309,35,65,,QUINN SeanEF Education-EasyPost,22,EF Education-EasyPost,8,5,",,2:08",strade-bianche/2023
310,36,154,,OLIVEIRA NelsonMovistar Team,33,Movistar Team,8,5,2:102:10,strade-bianche/2023
311,37,214,,CRAS SteffTotalEnergies,27,TotalEnergies,8,5,2:112:11,strade-bianche/2023
312,38,41,,HIGUITA SergioBORA - hansgrohe,25,BORA - hansgrohe,8,5,4:394:39,strade-bianche/2023
313,39,203,,DE MARCHI AlessandroTeam Jayco AlUla,36,Team Jayco AlUla,8,5,5:245:24,strade-bianche/2023
314,40,187,,VERRE AlessandroTeam Arkéa Samsic,21,Team Arkéa Samsic,8,5,5:415:41,strade-bianche/2023
315,41,195,,ONLEY OscarTeam DSM,20,Team DSM,8,5,5:435:43,strade-bianche/2023
316,42,112,,BYSTRØM Sven ErikIntermarché - Circus - Wanty,31,Intermarché - Circus - Wanty,8,5,5:525:52,strade-bianche/2023
317,43,171,,ALAPHILIPPE JulianSoudal - Quick Step,30,Soudal - Quick Step,8,5,5:555:55,strade-bianche/2023
318,44,17,,VENTURINI ClémentAG2R Citroën Team,29,AG2R Citroën Team,8,5,5:595:59,strade-bianche/2023
319,45,11,,VAN AVERMAET GregAG2R Citroën Team,37,AG2R Citroën Team,8,5,",,5:59",strade-bianche/2023
320,46,37,,PERNSTEINER HermannBahrain - Victorious,32,Bahrain - Victorious,8,5,",,5:59",strade-bianche/2023
321,47,57,,WOOD HarrisonCofidis,22,Cofidis,8,5,6:046:04,strade-bianche/2023
322,48,33,,KEPPLINGER RainerBahrain - Victorious,25,Bahrain - Victorious,8,5,6:156:15,strade-bianche/2023
323,49,36,,PASQUALON AndreaBahrain - Victorious,35,Bahrain - Victorious,8,5,7:507:50,strade-bianche/2023
324,50,231,,REICHENBACH SébastienTudor Pro Cycling Team,33,Tudor Pro Cycling Team,8,5,8:248:24,strade-bianche/2023
325,51,5,,STANNARD RobertAlpecin-Deceuninck,24,Alpecin-Deceuninck,4,5,8:568:56,strade-bianche/2023
326,52,114,,HUYS LaurensIntermarché - Circus - Wanty,24,Intermarché - Circus - Wanty,4,5,8:598:59,strade-bianche/2023
327,53,163,,CALZONI WalterQ36.5 Pro Cycling Team,21,Q36.5 Pro Cycling Team,4,5,",,8:59",strade-bianche/2023
328,54,51,,ZINGLE AxelCofidis,24,Cofidis,4,5,",,8:59",strade-bianche/2023
329,55,234,,ERIKSSON LucasTudor Pro Cycling Team,26,Tudor Pro Cycling Team,4,5,",,8:59",strade-bianche/2023
330,56,106,,SHEFFIELD MagnusINEOS Grenadiers,20,INEOS Grenadiers,2,5,",,8:59",strade-bianche/2023
331,57,14,,PETERS NansAG2R Citroën Team,28,AG2R Citroën Team,2,5,",,8:59",strade-bianche/2023
332,58,176,,SERRY PieterSoudal - Quick Step,34,Soudal - Quick Step,2,5,9:019:01,strade-bianche/2023
333,59,166,,CONCA FilippoQ36.5 Pro Cycling Team,24,Q36.5 Pro Cycling Team,2,5,9:039:03,strade-bianche/2023
334,60,97,,PACHER QuentinGroupama - FDJ,31,Groupama - FDJ,2,5,",,9:03",strade-bianche/2023
335,61,104,,RIVERA Brandon SmithINEOS Grenadiers,26,INEOS Grenadiers,,5,",,9:03",strade-bianche/2023
336,62,83,,GABBURO DavideGreen Project-Bardiani CSF-Faizanè,29,Green Project-Bardiani CSF-Faizanè,,5,9:059:05,strade-bianche/2023
337,63,224,,HELLEMOSE AsbjørnTrek - Segafredo,24,Trek - Segafredo,,5,9:079:07,strade-bianche/2023
338,64,157,,VERONA CarlosMovistar Team,30,Movistar Team,,5,9:099:09,strade-bianche/2023
339,65,94,,LE GAC OlivierGroupama - FDJ,29,Groupama - FDJ,,5,",,9:09",strade-bianche/2023
340,66,63,,HONORÉ Mikkel FrølichEF Education-EasyPost,26,EF Education-EasyPost,,5,",,9:09",strade-bianche/2023
341,67,3,,GOGL MichaelAlpecin-Deceuninck,29,Alpecin-Deceuninck,,5,9:139:13,strade-bianche/2023
342,68,237,,VOISARD YannisTudor Pro Cycling Team,24,Tudor Pro Cycling Team,,5,",,9:13",strade-bianche/2023
343,69,244,,COVI AlessandroUAE Team Emirates,24,UAE Team Emirates,,5,",,9:13",strade-bianche/2023
344,70,246,,MCNULTY BrandonUAE Team Emirates,24,UAE Team Emirates,,5,",,9:13",strade-bianche/2023
345,71,153,,MAS LluísMovistar Team,33,Movistar Team,,5,",,9:13",strade-bianche/2023
346,72,152,,HOLLMANN JuriMovistar Team,23,Movistar Team,,5,",,9:13",strade-bianche/2023
347,73,207,,ŠTYBAR ZdeněkTeam Jayco AlUla,37,Team Jayco AlUla,,5,9:209:20,strade-bianche/2023
348,74,132,,HESSMANN MichelJumbo-Visma,21,Jumbo-Visma,,5,9:269:26,strade-bianche/2023
349,75,71,,FETTER ErikEOLO-Kometa,22,EOLO-Kometa,,5,",,9:26",strade-bianche/2023
350,76,215,,FERRON ValentinTotalEnergies,25,TotalEnergies,,5,9:299:29,strade-bianche/2023
351,77,126,,NEILANDS KristsIsrael - Premier Tech,28,Israel - Premier Tech,,5,",,9:29",strade-bianche/2023
352,78,196,,TUSVELD MartijnTeam DSM,29,Team DSM,,5,",,9:29",strade-bianche/2023
353,79,183,,DELAPLACE AnthonyTeam Arkéa Samsic,33,Team Arkéa Samsic,,5,",,9:29",strade-bianche/2023
354,80,202,,BALMER AlexandreTeam Jayco AlUla,22,Team Jayco AlUla,,5,",,9:29",strade-bianche/2023
355,81,223,,GHEBREIGZABHIER AmanuelTrek - Segafredo,28,Trek - Segafredo,,5,9:339:33,strade-bianche/2023
356,82,81,,TOLIO AlexGreen Project-Bardiani CSF-Faizanè,22,Green Project-Bardiani CSF-Faizanè,,5,",,9:33",strade-bianche/2023
357,83,67,,VAN DEN BERG JuliusEF Education-EasyPost,26,EF Education-EasyPost,,5,",,9:33",strade-bianche/2023
358,84,55,,LASTRA JonathanCofidis,29,Cofidis,,5,9:379:37,strade-bianche/2023
359,85,2,,GAZE SamuelAlpecin-Deceuninck,27,Alpecin-Deceuninck,,5,9:559:55,strade-bianche/2023
360,86,177,,VANSEVENANT MauriSoudal - Quick Step,23,Soudal - Quick Step,,5,9:589:58,strade-bianche/2023
361,87,137,,VAN DER SANDE ToshJumbo-Visma,32,Jumbo-Visma,,5,10:0810:08,strade-bianche/2023
362,88,175,,PEDERSEN CasperSoudal - Quick Step,26,Soudal - Quick Step,,5,13:3313:33,strade-bianche/2023
363,89,74,,MAESTRI MircoEOLO-Kometa,31,EOLO-Kometa,,5,14:1514:15,strade-bianche/2023
364,90,15,,SCHÄR MichaelAG2R Citroën Team,36,AG2R Citroën Team,,5,14:1814:18,strade-bianche/2023
365,91,27,,VELASCO SimoneAstana Qazaqstan Team,27,Astana Qazaqstan Team,,5,",,14:18",strade-bianche/2023
366,92,193,,FLYNN SeanTeam DSM,23,Team DSM,,5,",,14:18",strade-bianche/2023
367,93,64,,KEUKELEIRE JensEF Education-EasyPost,34,EF Education-EasyPost,,5,",,14:18",strade-bianche/2023
368,94,92,,ASKEY LewisGroupama - FDJ,21,Groupama - FDJ,,5,",,14:18",strade-bianche/2023
369,95,143,,LIVYNS ArjenLotto Dstny,28,Lotto Dstny,,5,",,14:18",strade-bianche/2023
370,96,235,,PELLAUD SimonTudor Pro Cycling Team,30,Tudor Pro Cycling Team,,5,",,14:18",strade-bianche/2023
371,97,54,,FINÉ EddyCofidis,25,Cofidis,,5,",,14:18",strade-bianche/2023
372,98,186,,RUSSO ClémentTeam Arkéa Samsic,28,Team Arkéa Samsic,,5,",,14:18",strade-bianche/2023
373,99,205,,JUUL-JENSEN ChristopherTeam Jayco AlUla,33,Team Jayco AlUla,,5,",,14:18",strade-bianche/2023
374,100,242,,BAX SjoerdUAE Team Emirates,27,UAE Team Emirates,,5,",,14:18",strade-bianche/2023
375,101,191,,VANHOUCKE HarmTeam DSM,25,Team DSM,,5,",,14:18",strade-bianche/2023
376,102,236,,THALMANN RolandTudor Pro Cycling Team,29,Tudor Pro Cycling Team,,5,",,14:18",strade-bianche/2023
377,103,56,,MARIAULT AxelCofidis,24,Cofidis,,5,",,14:18",strade-bianche/2023
378,104,211,,SAGAN PeterTotalEnergies,33,TotalEnergies,,5,",,14:18",strade-bianche/2023
379,105,133,,HOFSTEDE LennardJumbo-Visma,28,Jumbo-Visma,,5,",,14:18",strade-bianche/2023
380,106,243,,BENNETT GeorgeUAE Team Emirates,32,UAE Team Emirates,,5,",,14:18",strade-bianche/2023
381,107,32,,GOVEKAR MatevžBahrain - Victorious,22,Bahrain - Victorious,,5,",,14:18",strade-bianche/2023
382,108,46,,SCHELLING IdeBORA - hansgrohe,25,BORA - hansgrohe,,5,",,14:18",strade-bianche/2023
383,109,82,,COLNAGHI LucaGreen Project-Bardiani CSF-Faizanè,24,Green Project-Bardiani CSF-Faizanè,,5,18:2518:25,strade-bianche/2023
384,110,77,,SEVILLA Diego PabloEOLO-Kometa,27,EOLO-Kometa,,5,",,18:25",strade-bianche/2023
385,111,85,,MAGLI FilippoGreen Project-Bardiani CSF-Faizanè,23,Green Project-Bardiani CSF-Faizanè,,5,",,18:25",strade-bianche/2023
386,112,232,,BRUN NilsTudor Pro Cycling Team,22,Tudor Pro Cycling Team,,5,",,18:25",strade-bianche/2023
387,113,52,,CARVALHO AndreCofidis,25,Cofidis,,5,",,18:25",strade-bianche/2023
388,114,145,,PAASSCHENS MathijsLotto Dstny,26,Lotto Dstny,,5,",,18:25",strade-bianche/2023
389,115,162,,ABREHA Negasi HayluQ36.5 Pro Cycling Team,22,Q36.5 Pro Cycling Team,,5,",,18:25",strade-bianche/2023
390,116,156,,TORRES AlbertMovistar Team,32,Movistar Team,,5,",,18:25",strade-bianche/2023
391,117,222,,CATALDO DarioTrek - Segafredo,37,Trek - Segafredo,,5,",,18:25",strade-bianche/2023
392,118,182,,BARRÉ LouisTeam Arkéa Samsic,22,Team Arkéa Samsic,,5,",,18:25",strade-bianche/2023
393,119,84,,LUCCA RiccardoGreen Project-Bardiani CSF-Faizanè,26,Green Project-Bardiani CSF-Faizanè,,5,",,18:25",strade-bianche/2023
394,120,221,,THEUNS EdwardTrek - Segafredo,31,Trek - Segafredo,,5,18:5818:58,strade-bianche/2023
395,121,95,,LIENHARD FabianGroupama - FDJ,29,Groupama - FDJ,,5,19:1119:11,strade-bianche/2023
396,122,87,,ZOCCARATO SamueleGreen Project-Bardiani CSF-Faizanè,25,Green Project-Bardiani CSF-Faizanè,,5,",,19:11",strade-bianche/2023
397,123,165,,COLOMBO FilippoQ36.5 Pro Cycling Team,25,Q36.5 Pro Cycling Team,,5,",,19:11",strade-bianche/2023
398,124,206,,MAAS JanTeam Jayco AlUla,27,Team Jayco AlUla,,5,",,19:11",strade-bianche/2023
399,125,144,,MONIQUET SylvainLotto Dstny,25,Lotto Dstny,,5,",,19:11",strade-bianche/2023
400,126,22,,BASSO LeonardoAstana Qazaqstan Team,29,Astana Qazaqstan Team,,5,19:2019:20,strade-bianche/2023
401,127,4,,RIESEBEEK OscarAlpecin-Deceuninck,30,Alpecin-Deceuninck,,5,19:2619:26,strade-bianche/2023
402,128,216,,OSS DanielTotalEnergies,36,TotalEnergies,,5,19:3119:31,strade-bianche/2023
403,129,6,,VAN DEN BOSSCHE FabioAlpecin-Deceuninck,22,Alpecin-Deceuninck,,5,19:4419:44,strade-bianche/2023
404,OTL,225,,HOELGAARD MarkusTrek - Segafredo,28,Trek - Segafredo,,,22:4422:44,strade-bianche/2023
405,OTL,73,,GAROSIO AndreaEOLO-Kometa,29,EOLO-Kometa,,,",,22:44",strade-bianche/2023
406,OTL,26,,RIABUSHENKO AlexandrAstana Qazaqstan Team,27,Astana Qazaqstan Team,,,",,22:44",strade-bianche/2023
407,OTL,204,,ENGELHARDT FelixTeam Jayco AlUla,22,Team Jayco AlUla,,,22:5722:57,strade-bianche/2023
408,OTL,124,,GOLDSTEIN OmerIsrael - Premier Tech,26,Israel - Premier Tech,,,",,22:57",strade-bianche/2023
409,OTL,123,,GEE DerekIsrael - Premier Tech,25,Israel - Premier Tech,,,25:5825:58,strade-bianche/2023
410,OTL,185,,OWSIAN ŁukaszTeam Arkéa Samsic,33,Team Arkéa Samsic,,,26:0926:09,strade-bianche/2023
411,OTL,134,,LEEMREIZE GijsJumbo-Visma,23,Jumbo-Visma,,,26:1126:11,strade-bianche/2023
412,DNF,113,,HERREGODTS RuneIntermarché - Circus - Wanty,24,Intermarché - Circus - Wanty,,,-,strade-bianche/2023
413,DNF,212,,BODNAR MaciejTotalEnergies,37,TotalEnergies,,,-,strade-bianche/2023
414,DNF,43,,GAMPER PatrickBORA - hansgrohe,26,BORA - hansgrohe,,,-,strade-bianche/2023
415,DNF,155,,ROMEO IvánMovistar Team,19,Movistar Team,,,-,strade-bianche/2023
416,DNF,86,,TONELLI AlessandroGreen Project-Bardiani CSF-Faizanè,30,Green Project-Bardiani CSF-Faizanè,,,-,strade-bianche/2023
417,DNF,194,,MILESI LorenzoTeam DSM,20,Team DSM,,,-,strade-bianche/2023
418,DNF,34,,MIHOLJEVIĆ FranBahrain - Victorious,20,Bahrain - Victorious,,,-,strade-bianche/2023
419,DNF,142,,ADAMIETZ JohannesLotto Dstny,24,Lotto Dstny,,,-,strade-bianche/2023
420,DNF,75,,PIETROBON AndreaEOLO-Kometa,23,EOLO-Kometa,,,-,strade-bianche/2023
421,DNF,174,,DEVENYNS DriesSoudal - Quick Step,39,Soudal - Quick Step,,,-,strade-bianche/2023
422,DNF,16,,VENDRAME AndreaAG2R Citroën Team,28,AG2R Citroën Team,,,-,strade-bianche/2023
423,DNF,125,,HOLLENSTEIN RetoIsrael - Premier Tech,37,Israel - Premier Tech,,,-,strade-bianche/2023
424,DNF,233,,CHARRIN AloïsTudor Pro Cycling Team,22,Tudor Pro Cycling Team,,,-,strade-bianche/2023
425,DNF,62,,AMADOR AndreyEF Education-EasyPost,36,EF Education-EasyPost,,,-,strade-bianche/2023
426,DNF,167,,DONOVAN MarkQ36.5 Pro Cycling Team,23,Q36.5 Pro Cycling Team,,,-,strade-bianche/2023
427,DNF,12,,RETAILLEAU ValentinAG2R Citroën Team,22,AG2R Citroën Team,,,-,strade-bianche/2023
428,DNF,116,,ROTA LorenzoIntermarché - Circus - Wanty,27,Intermarché - Circus - Wanty,,,-,strade-bianche/2023
429,DNF,213,,BURGAUDEAU MathieuTotalEnergies,24,TotalEnergies,,,-,strade-bianche/2023
430,DNF,53,,CHAMPION ThomasCofidis,23,Cofidis,,,-,strade-bianche/2023
431,DNF,161,,BRAMBILLA GianlucaQ36.5 Pro Cycling Team,35,Q36.5 Pro Cycling Team,,,-,strade-bianche/2023
432,DNF,105,,RODRÍGUEZ CarlosINEOS Grenadiers,22,INEOS Grenadiers,,,-,strade-bianche/2023
433,DNF,197,,VANDENABEELE HenriTeam DSM,22,Team DSM,,,-,strade-bianche/2023
434,DNF,42,,BENEDETTI CesareBORA - hansgrohe,35,BORA - hansgrohe,,,-,strade-bianche/2023
435,DNF,146,,SEPÚLVEDA EduardoLotto Dstny,31,Lotto Dstny,,,-,strade-bianche/2023
436,DNF,76,,RIVI SamueleEOLO-Kometa,24,EOLO-Kometa,,,-,strade-bianche/2023
437,DNF,192,,BRENNER MarcoTeam DSM,20,Team DSM,,,-,strade-bianche/2023
438,DNF,23,,BOARO ManueleAstana Qazaqstan Team,35,Astana Qazaqstan Team,,,-,strade-bianche/2023
439,DNF,127,,WÜRTZ SCHMIDT MadsIsrael - Premier Tech,28,Israel - Premier Tech,,,-,strade-bianche/2023
440,DNF,25,,NIBALI AntonioAstana Qazaqstan Team,30,Astana Qazaqstan Team,,,-,strade-bianche/2023
441,DNF,72,,BEVILACQUA SimoneEOLO-Kometa,26,EOLO-Kometa,,,-,strade-bianche/2023
442,DNF,173,,BALLERINI DavideSoudal - Quick Step,28,Soudal - Quick Step,,,-,strade-bianche/2023
443,DNF,13,,PARET-PEINTRE ValentinAG2R Citroën Team,22,AG2R Citroën Team,,,-,strade-bianche/2023
444,DNF,117,,ZIMMERMANN GeorgIntermarché - Circus - Wanty,25,Intermarché - Circus - Wanty,,,-,strade-bianche/2023
445,DNF,217,,SIMON JulienTotalEnergies,37,TotalEnergies,,,-,strade-bianche/2023
446,DNF,61,,BETTIOL AlbertoEF Education-EasyPost,29,EF Education-EasyPost,,,-,strade-bianche/2023
447,DNF,164,,CAMPRUBI MarcelQ36.5 Pro Cycling Team,21,Q36.5 Pro Cycling Team,,,-,strade-bianche/2023
448,DNS,24,,FEDOROV YevgeniyAstana Qazaqstan Team,23,Astana Qazaqstan Team,,,-,strade-bianche/2023
449,,,,,,,,,,gp-de-valence/2023
450,1,133,,DE LIE ArnaudLotto Dstny,20,Lotto Dstny,125,75,4:41:22,gp-de-valence/2023
